sample_id,email_hash,request_id,provider_request_id,true_label,model,provider,model_id,temperature,status,error_type,error_message,parse_error,attempts,latency_seconds,api_status_code,predicted_label,probability,remetente_suspeito,senso_urgencia_medo,solicitacao_dados_sensiveis,links_suspeitos,erros_gramaticais,email_nao_solicitado,saudacao_generica,anexos_suspeitos,formatacao_estranha,oferta_boa_demais,dominio_suspeito,remetente_falsificado,historias_elaboradas,personalizacao_excessiva,falta_contato,conteudo_emocional,inconsistencias_contato,anexos_estranhos,endereco_resposta_diferente,botoes_enganosos,score_risco_geral,score_confianca,score_urgencia,score_solicitacao_sensivel,score_suspeita_links,explanation,contato_ausente_ou_inconsistente
email_00114,15fe7c09e6806aa0,groq-compound:email_00114:0f5e48d6474d,req_01kr56hjbjek3tymf7a4w1pp3r,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,28.9068,200,phishing,0.85,0,0,0,1,0,1,1,0,0,0,1,,0,0,,1,,,0,0,6,2,0,0,1,"Link suspeito, domínio desconhecido, email não solicitado e conteúdo emocional.",1.0
email_00205,2d223ce48d81283a,groq-compound:email_00205:efbdcf0f2a04,req_01kr9c79epey88310ksh1y971n,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,29.3958,200,safe,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,1,8,1,0,1,"Appears to be a safe, archived personal note.",0.0
email_00308,2268d3279b687cac,groq-compound:email_00308:d83195f9a114,req_01kr53240efrz960q5wezgmsr0,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,27.7977,200,safe,0.2,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,2,8,2,0,0,"Nenhum indício de phishing; trata de contrato interno, sem urgência, links ou pedido de dados.",0.0
email_00497,8c4e2a9fb1a4dd04,groq-compound:email_00497:8ac29d99363c,req_01kr9qqa7ffh4atvf0nt6qy5zx,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,31.5122,200,safe,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,1,9,0,0,0,Fragmento sem indícios de phishing.,0.0
email_00727,f6275311b3d4f7b2,groq-compound:email_00727:ecd31351ff61,req_01kqwmeb7meqasfmwrm0p4kr3m,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,30.3235,200,safe,0.1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,10,10,10,0,0,Email appears to be a genuine technical discussion,
email_00954,9e1a875223b87e25,groq-compound:email_00954:36b73d1505c2,req_01kr533x50e4wvxheef335d2t8,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,29.9837,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,1,0,0,0,Legitimate mailing list discussion,0.0
email_00977,a9d372da3e1d571c,groq-compound:email_00977:2ca8a7739d4c,req_01kr9c58mmey183yddsgq8d9wx,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,31.7322,200,phishing,0.7,0,0,0,0,1,1,1,0,0,0,0,,0,0,,0,,,0,0,6,2,2,4,0,"Unsolicited, poorly written, and discusses sensitive topics.",1.0
email_01304,ed5cbee322ba06fd,groq-compound:email_01304:d5855464621f,req_01kr52sgkffrca0z02bt3gdz8j,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,32.7378,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,Email appears to be a legitimate academic discussion,0.0
email_01323,25e3e561b36bcb27,groq-compound:email_01323:c2601573e194,req_01kr51v96bfyybzhz1vf836spg,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,28.3544,200,phishing,0.92,1,0,1,1,1,1,1,0,1,1,1,,0,0,,0,,,0,0,9,1,2,8,9,"Solicita dados sensíveis via formulário, contém link e domínio suspeitos, erros e oferta atrativa",0.0
email_01396,c474345b489ff658,groq-compound:email_01396:6bc8096ca748,req_01kr9r3zycf4x9wb5ryamcypx1,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,27.049,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,10,0,0,0,Insufficient content for analysis.,0.0
